10000	16000	541
10000	16000	255
10000	16000	549
10000	16000	518
10000	16000	514
10000	16000	543
10000	16000	529
10000	16000	481
10000	16000	960
10000	16000	302
10000	16000	599
10000	16000	470
10000	16000	576
10000	16000	497
100000	160000	812
100000	160000	779
100000	160000	879
100000	160000	783
100000	160000	812
100000	160000	817
100000	160000	1547
100000	160000	1174
100000	160000	781
100000	160000	302
100000	160000	309
100000	160000	750
1000000	1600000	3848
1000000	1600000	4368
1000000	1600000	4120
1000000	1600000	3939
1000000	1600000	4416
1000000	1600000	3560
1000000	1600000	3695
1000000	1600000	4125
1000000	1600000	3456
1000000	1600000	3694
1000000	1600000	3711
1000000	1600000	3693
10000000	16000000	36285
10000000	16000000	31654
10000000	16000000	32693
10000000	16000000	33092
10000000	16000000	32391
10000000	16000000	32230
10000000	16000000	37072
10000000	16000000	29934
10000000	16000000	32201
10000000	16000000	36584
10000000	16000000	35262
10000000	16000000	33177
10000	16000	662
10000	16000	650
10000	16000	624
10000	16000	643
10000	16000	671
10000	16000	687
10000	16000	626
10000	16000	639
10000	16000	595
10000	16000	606
10000	16000	1300
10000	16000	599
100000	160000	3686
100000	160000	3928
100000	160000	3642
100000	160000	3883
100000	160000	3710
100000	160000	3691
100000	160000	3666
100000	160000	3672
100000	160000	3674
100000	160000	3826
100000	160000	3819
100000	160000	3056
1000000	1600000	4114
1000000	1600000	4026
1000000	1600000	373247
------------------------------------------NEW UPDATE-----------
1000000	1600000	308642
1000000	1600000	363273
1000000	1600000	315445
1000000	1600000	308007
1000000	1600000	310530
1000000	1600000	313928
1000000	1600000	311578
1000000	1600000	316106
1000000	1600000	315750
1000000	1600000	316303
1000000	1600000	315839
1000000	1600000	315416
